canonical_drug_id,pred_ensemble_mean,ensemble_member_std_mean,n_cell_drug_rows,m0_mean,m1_mean,m2_mean,m3_mean,m4_mean,m5_mean,top_model_vote_count,confidence_grade,rank_lihc_v2_directive,drug_name_norm,drug_name,drug_name_display
1378,-1.327688679133675,1.7820813822853512,14,-2.880485006741115,1.4192334464085954,-2.147621180330004,-2.9825133000101363,0.28635814200554577,-3.0711028405598233,6,C,1,bleomycin50um,Bleomycin (50 uM),Bleomycin (50 uM)
1812,-1.2144789779384932,1.6636258079881232,15,-2.6468700408935546,1.3718122939268749,-1.9279454946517944,-2.8754404067993162,0.24118207693099974,-2.759826588630676,6,C,2,bleomycin,Bleomycin,Bleomycin
1031,-0.9370832255948335,0.806055133463837,1,-0.7682561874389648,-0.012241941876709461,-2.1524088382720947,-1.660279393196106,-0.2012762427330017,-1.714235544204712,6,C,3,elesclomol,Elesclomol,Elesclomol
1819,-0.6791299312996367,0.9431129850353854,15,-0.12175929347674051,-0.10827583856880665,-1.1344212681055068,-0.929156227906545,-2.4364486853281657,0.04962906191746394,6,C,4,docetaxel,Docetaxel,Docetaxel
1007,-0.516980776992937,0.6992373177955643,15,-1.0809506222605705,-0.5331916376948357,0.4269033533831437,-0.3466837783654531,-0.5383602857589722,-1.1568830172220865,6,C,5,docetaxel,Docetaxel,Docetaxel
1016,-0.22129049896790332,0.6581452897244618,15,-0.3845352674523989,0.5339771771803499,0.2579796798527241,-0.9634630541006725,-0.971624847400623,-0.6898847028613091,6,C,6,temsirolimus,Temsirolimus,Temsirolimus
1080,-0.21714982951556644,0.5064634240793752,15,0.09712161719799042,-0.04133355679611365,-1.0244432588418324,-0.1374556558827559,-0.13866248379151028,-0.32806073625882465,6,B,7,paclitaxel,Paclitaxel,Paclitaxel
1191,0.49292088340967893,0.7694016421319161,15,0.5086894315977891,1.5478474537531535,0.3463715463876724,-0.9395851771036784,0.5237839927275976,-0.033546722928682965,6,C,8,bortezomib,Bortezomib,Bortezomib
1511,0.5443934209415068,0.7933384291228364,15,1.200343378384908,0.8156929328416784,0.4116113615532716,-0.07935158560673396,0.36543781583507856,-1.0256564731399218,6,C,9,epirubicin,Epirubicin,Epirubicin
1808,0.633496706413726,1.2269763336016297,15,2.1705926338831585,0.744714280962944,0.03411438837647438,-0.7968207001686096,0.9146618704001109,-1.5227631290753683,5,C,10,topotecan,Topotecan,Topotecan
1911,0.7101502795396372,0.636277378613945,15,1.1987277666727703,1.0522262479178608,-0.04893920918305715,0.16301266402006148,0.3924787014722824,1.4030349612236024,6,C,11,dactinomycin,Dactinomycin,Dactinomycin
1024,0.7617926563968261,0.5322489401581224,15,0.9782479703426361,1.0889369840423266,-0.04476286272207896,0.35334319770336153,1.3650247459610303,0.5966942548751831,5,B,12,lestaurtinib,Lestaurtinib,Lestaurtinib
1170,0.9883490496873857,0.49455634281405575,1,1.500993013381958,0.6421390771865845,0.8292062878608704,1.0283221006393433,0.39320921897888184,1.8361256122589111,4,B,13,cct018159,CCT-018159,CCT-018159
1862,1.0257088667775194,0.6237674361320243,15,1.5018781344095866,0.3519847037891547,0.666739026705424,1.2027233680089315,1.1394834438959758,2.195850070317586,3,C,14,mg132,MG-132,MG-132
1004,1.0630954697102841,0.6298980023080778,14,0.5575529815895217,1.9741286784410477,1.34368611233575,0.19953559006431273,1.0639204340321677,0.7357937502009528,5,C,15,vinblastine,Vinblastine,Vinblastine
1003,1.115972649673621,0.7665031461464938,15,1.1839155077934265,1.7738791227340698,1.635184141000112,-0.08825884560743967,0.9003142155706882,0.06239681740601857,4,C,16,camptothecin,Camptothecin,Camptothecin
1037,1.1508748158812523,0.4506985747039804,1,1.1368049383163452,1.442089557647705,1.7295430898666382,0.4229516088962555,0.6225119829177856,1.233078122138977,5,B,17,bx795,BX795,BX795
1088,1.1753120760420959,0.4237213142676976,15,1.0496767520904542,1.7080349763234457,0.8365707765022914,0.6403912206490835,1.5199186821778616,1.0869697829087575,5,B,18,irinotecan,Irinotecan,Irinotecan
